hr,weekday,workingday,mnth,season,temp,atemp,hum,windspeed,weathersit,holiday,cnt
0,5,1,4,2,0.36,0.3485,0.76,0.2239,2,0,25
1,5,1,4,2,0.34,0.3333,0.76,0.1343,2,0,9
2,5,1,4,2,0.34,0.3333,0.76,0.1642,3,0,13
3,5,1,4,2,0.34,0.3333,0.76,0.1642,3,0,1
4,5,1,4,2,0.34,0.3333,0.86,0.1343,2,0,1
5,5,1,4,2,0.32,0.3182,0.87,0.194,2,0,9
6,5,1,4,2,0.34,0.3636,0.87,0.0,2,0,35
7,5,1,4,2,0.34,0.3333,0.87,0.1642,3,0,113
8,5,1,4,2,0.34,0.3333,0.87,0.1642,3,0,221
9,5,1,4,2,0.36,0.3485,0.76,0.194,2,0,185
10,5,1,4,2,0.36,0.3333,0.71,0.2836,2,0,73
11,5,1,4,2,0.4,0.4091,0.62,0.3881,2,0,98
12,5,1,4,2,0.38,0.3939,0.66,0.2239,3,0,80
13,5,1,4,2,0.36,0.3333,0.76,0.2836,3,0,42
14,5,1,4,2,0.34,0.3182,0.87,0.2239,3,0,15
15,5,1,4,2,0.34,0.3182,0.87,0.2239,3,0,25
16,5,1,4,2,0.32,0.303,0.93,0.2537,2,0,60
17,5,1,4,2,0.32,0.303,0.93,0.2537,3,0,148
18,5,1,4,2,0.32,0.303,0.93,0.2537,3,0,62
19,5,1,4,2,0.3,0.2727,0.93,0.4179,3,0,53
20,5,1,4,2,0.3,0.2727,0.93,0.3284,2,0,63
21,5,1,4,2,0.3,0.2879,0.93,0.2537,2,0,54
22,5,1,4,2,0.3,0.2727,0.93,0.2985,2,0,51
23,5,1,4,2,0.3,0.2879,0.93,0.2239,2,0,35
0,6,0,4,2,0.3,0.2879,0.87,0.2239,2,0,31
1,6,0,4,2,0.3,0.303,0.87,0.1343,2,0,20
2,6,0,4,2,0.32,0.303,0.87,0.2239,2,0,17
3,6,0,4,2,0.3,0.2879,1.0,0.2537,3,0,14
4,6,0,4,2,0.3,0.2727,1.0,0.2537,3,0,3
5,6,0,4,2,0.3,0.2879,0.93,0.2239,2,0,5
6,6,0,4,2,0.3,0.2879,0.93,0.194,2,0,13
7,6,0,4,2,0.3,0.303,0.93,0.1642,2,0,21
8,6,0,4,2,0.32,0.303,0.93,0.1642,2,0,54
9,6,0,4,2,0.34,0.3485,0.87,0.1045,2,0,98
10,6,0,4,2,0.34,0.3333,0.87,0.1343,2,0,133
11,6,0,4,2,0.36,0.3636,0.81,0.0,2,0,142
12,6,0,4,2,0.36,0.3485,0.81,0.1343,2,0,202
13,6,0,4,2,0.36,0.3788,0.81,0.0,2,0,222
14,6,0,4,2,0.36,0.3485,0.81,0.1343,2,0,212
15,6,0,4,2,0.36,0.3788,0.87,0.0,2,0,201
16,6,0,4,2,0.38,0.3939,0.82,0.0,2,0,191
17,6,0,4,2,0.38,0.3939,0.82,0.0896,2,0,257
18,6,0,4,2,0.38,0.3939,0.82,0.1045,2,0,177
19,6,0,4,2,0.38,0.3939,0.82,0.1343,2,0,130
20,6,0,4,2,0.38,0.3939,0.87,0.1642,2,0,93
21,6,0,4,2,0.36,0.3485,0.93,0.1343,2,0,75
22,6,0,4,2,0.36,0.3485,0.93,0.1343,2,0,87
23,6,0,4,2,0.38,0.3939,0.87,0.0896,2,0,57
0,0,0,4,2,0.38,0.3939,0.87,0.0896,2,0,53
1,0,0,4,2,0.38,0.3939,0.87,0.1343,2,0,37
2,0,0,4,2,0.38,0.3939,0.87,0.0896,2,0,36
3,0,0,4,2,0.38,0.3939,0.87,0.1343,2,0,16
4,0,0,4,2,0.36,0.3636,0.93,0.1045,2,0,5
5,0,0,4,2,0.36,0.3636,0.93,0.0896,2,0,4
6,0,0,4,2,0.36,0.3636,0.93,0.0896,2,0,4
7,0,0,4,2,0.36,0.3636,1.0,0.0896,2,0,10
8,0,0,4,2,0.38,0.3939,0.94,0.0896,2,0,55
9,0,0,4,2,0.38,0.3939,0.94,0.1343,2,0,81
10,0,0,4,2,0.4,0.4091,0.87,0.0,2,0,150
11,0,0,4,2,0.4,0.4091,0.87,0.1343,2,0,202
12,0,0,4,2,0.42,0.4242,0.88,0.1343,2,0,230
13,0,0,4,2,0.46,0.4545,0.82,0.1045,1,0,263
14,0,0,4,2,0.5,0.4848,0.72,0.194,1,0,281
15,0,0,4,2,0.5,0.4848,0.77,0.2239,1,0,297
16,0,0,4,2,0.52,0.5,0.72,0.1642,2,0,288
17,0,0,4,2,0.52,0.5,0.72,0.194,2,0,236
18,0,0,4,2,0.5,0.4848,0.77,0.194,1,0,240
19,0,0,4,2,0.5,0.4848,0.77,0.194,1,0,131
20,0,0,4,2,0.46,0.4545,0.82,0.1343,1,0,92
21,0,0,4,2,0.44,0.4394,0.88,0.194,1,0,95
22,0,0,4,2,0.44,0.4394,0.94,0.2537,1,0,57
23,0,0,4,2,0.46,0.4545,0.88,0.3582,1,0,32
0,1,1,4,2,0.48,0.4697,0.88,0.3284,1,0,23
1,1,1,4,2,0.46,0.4545,0.94,0.2836,1,0,4
2,1,1,4,2,0.46,0.4545,0.94,0.2836,1,0,9
4,1,1,4,2,0.46,0.4545,0.94,0.194,1,0,1
5,1,1,4,2,0.46,0.4545,0.94,0.194,1,0,13
6,1,1,4,2,0.46,0.4545,1.0,0.2239,2,0,61
7,1,1,4,2,0.5,0.4848,0.88,0.2239,2,0,176
8,1,1,4,2,0.52,0.5,0.88,0.2836,2,0,314
9,1,1,4,2,0.56,0.5303,0.83,0.2836,2,0,165
10,1,1,4,2,0.56,0.5303,0.83,0.2985,2,0,96
11,1,1,4,2,0.6,0.5909,0.73,0.2985,2,0,104
12,1,1,4,2,0.6,0.5909,0.73,0.3284,2,0,134
13,1,1,4,2,0.64,0.6061,0.69,0.4179,2,0,139
14,1,1,4,2,0.72,0.6667,0.54,0.3582,2,0,145
15,1,1,4,2,0.74,0.6667,0.48,0.5224,1,0,141
16,1,1,4,2,0.74,0.6667,0.48,0.5224,1,0,235
17,1,1,4,2,0.74,0.6667,0.48,0.5224,1,0,452
18,1,1,4,2,0.72,0.6667,0.51,0.3881,1,0,383
19,1,1,4,2,0.72,0.6667,0.51,0.4478,1,0,284
20,1,1,4,2,0.68,0.6364,0.57,0.5224,1,0,166
21,1,1,4,2,0.66,0.6212,0.61,0.2537,1,0,158
22,1,1,4,2,0.64,0.6212,0.5,0.2836,2,0,91
23,1,1,4,2,0.58,0.5455,0.6,0.0,3,0,54
0,2,1,4,2,0.62,0.6212,0.5,0.1045,2,0,24
1,2,1,4,2,0.62,0.6212,0.5,0.0896,2,0,13
2,2,1,4,2,0.6,0.6212,0.53,0.1343,2,0,14
3,2,1,4,2,0.58,0.5455,0.56,0.1343,2,0,1
4,2,1,4,2,0.56,0.5303,0.64,0.1343,2,0,6
5,2,1,4,2,0.54,0.5152,0.68,0.1343,2,0,16
6,2,1,4,2,0.54,0.5152,0.68,0.2836,2,0,58
7,2,1,4,2,0.54,0.5152,0.68,0.2239,2,0,189
8,2,1,4,2,0.48,0.4697,0.88,0.3881,3,0,226
9,2,1,4,2,0.46,0.4545,0.94,0.4925,3,0,54
10,2,1,4,2,0.5,0.4848,0.82,0.4179,3,0,40
11,2,1,4,2,0.52,0.5,0.77,0.3582,1,0,49
12,2,1,4,2,0.56,0.5303,0.64,0.4627,2,0,92
13,2,1,4,2,0.54,0.5152,0.68,0.2836,3,0,106
14,2,1,4,2,0.5,0.4848,0.82,0.2836,2,0,44
15,2,1,4,2,0.48,0.4697,0.77,0.5224,2,0,78
16,2,1,4,2,0.48,0.4697,0.77,0.3881,2,0,99
17,2,1,4,2,0.44,0.4394,0.77,0.2239,3,0,291
18,2,1,4,2,0.44,0.4394,0.77,0.2239,3,0,224
19,2,1,4,2,0.42,0.4242,0.82,0.2836,2,0,130
20,2,1,4,2,0.42,0.4242,0.82,0.2836,2,0,103
21,2,1,4,2,0.42,0.4242,0.82,0.194,2,0,84
22,2,1,4,2,0.4,0.4091,0.94,0.2985,2,0,54
23,2,1,4,2,0.4,0.4091,0.94,0.2537,2,0,39
0,3,1,4,2,0.4,0.4091,1.0,0.2985,2,0,15
1,3,1,4,2,0.4,0.4091,1.0,0.2985,2,0,1
2,3,1,4,2,0.4,0.4091,1.0,0.2985,3,0,2
3,3,1,4,2,0.4,0.4091,0.94,0.3284,3,0,2
4,3,1,4,2,0.4,0.4091,0.94,0.3284,3,0,3
5,3,1,4,2,0.38,0.3939,0.94,0.2537,3,0,5
6,3,1,4,2,0.38,0.3939,0.94,0.2239,3,0,34
7,3,1,4,2,0.36,0.3485,1.0,0.2239,3,0,70
8,3,1,4,2,0.38,0.3939,0.94,0.194,3,0,164
9,3,1,4,2,0.38,0.3939,0.94,0.2239,2,0,65
10,3,1,4,2,0.4,0.4091,0.87,0.194,2,0,46
11,3,1,4,2,0.42,0.4242,0.82,0.194,2,0,61
12,3,1,4,2,0.42,0.4242,0.82,0.2537,3,0,95
13,3,1,4,2,0.44,0.4394,0.77,0.194,2,0,61
14,3,1,4,2,0.42,0.4242,0.77,0.2537,2,0,106
15,3,1,4,2,0.44,0.4394,0.72,0.2836,2,0,81
16,3,1,4,2,0.46,0.4545,0.67,0.2836,1,0,142
17,3,1,4,2,0.46,0.4545,0.67,0.2985,1,0,309
18,3,1,4,2,0.44,0.4394,0.62,0.3881,1,0,321
19,3,1,4,2,0.44,0.4394,0.62,0.2537,1,0,175
20,3,1,4,2,0.44,0.4394,0.62,0.2537,1,0,126
21,3,1,4,2,0.42,0.4242,0.67,0.1642,1,0,117
22,3,1,4,2,0.42,0.4242,0.67,0.194,1,0,99
23,3,1,4,2,0.4,0.4091,0.71,0.1343,1,0,62
0,4,1,4,2,0.38,0.3939,0.76,0.1343,1,0,21
1,4,1,4,2,0.38,0.3939,0.76,0.2239,1,0,10
2,4,1,4,2,0.36,0.3485,0.76,0.1343,1,0,3
3,4,1,4,2,0.34,0.3333,0.81,0.1343,1,0,2
4,4,1,4,2,0.34,0.3636,0.76,0.0,1,0,9
5,4,1,4,2,0.34,0.3485,0.76,0.0896,1,0,14
6,4,1,4,2,0.34,0.3485,0.76,0.1045,1,0,70
7,4,1,4,2,0.38,0.3939,0.66,0.0,1,0,193
8,4,1,4,2,0.42,0.4242,0.58,0.1642,1,0,337
9,4,1,4,2,0.46,0.4545,0.51,0.1343,1,0,170
10,4,1,4,2,0.5,0.4848,0.51,0.194,1,0,89
11,4,1,4,2,0.52,0.5,0.45,0.1642,1,0,115
12,4,1,4,2,0.54,0.5152,0.42,0.1343,1,0,145
13,4,1,4,2,0.56,0.5303,0.37,0.2239,1,0,159
14,4,1,4,2,0.56,0.5303,0.35,0.0896,1,0,137
15,4,1,4,2,0.6,0.6212,0.31,0.0896,1,0,142
16,4,1,4,2,0.6,0.6061,0.26,0.1045,1,0,202
17,4,1,4,2,0.6,0.6061,0.28,0.0,1,0,388
18,4,1,4,2,0.56,0.5303,0.3,0.0,1,0,337
19,4,1,4,2,0.54,0.5152,0.32,0.0,1,0,259
20,4,1,4,2,0.5,0.4848,0.51,0.194,1,0,169
21,4,1,4,2,0.46,0.4545,0.63,0.1343,1,0,145
22,4,1,4,2,0.48,0.4697,0.55,0.1045,1,0,104
23,4,1,4,2,0.46,0.4545,0.59,0.1045,1,0,47
0,5,0,4,2,0.44,0.4394,0.67,0.0,1,1,27
1,5,0,4,2,0.44,0.4394,0.62,0.0,1,1,15
2,5,0,4,2,0.4,0.4091,0.76,0.0,1,1,18
3,5,0,4,2,0.4,0.4091,0.76,0.0,1,1,3
4,5,0,4,2,0.38,0.3939,0.82,0.0896,1,1,3
5,5,0,4,2,0.36,0.3636,0.81,0.1045,1,1,13
6,5,0,4,2,0.36,0.3636,0.81,0.0896,1,1,47
7,5,0,4,2,0.4,0.4091,0.71,0.1642,1,1,149
8,5,0,4,2,0.44,0.4394,0.62,0.2985,1,1,300
9,5,0,4,2,0.5,0.4848,0.55,0.194,1,1,178
10,5,0,4,2,0.5,0.4848,0.55,0.194,1,1,122
11,5,0,4,2,0.52,0.5,0.55,0.194,1,1,136
12,5,0,4,2,0.52,0.5,0.55,0.2836,1,1,200
13,5,0,4,2,0.54,0.5152,0.52,0.2537,1,1,180
14,5,0,4,2,0.54,0.5152,0.52,0.2537,1,1,163
15,5,0,4,2,0.54,0.5152,0.52,0.4478,1,1,162
16,5,0,4,2,0.52,0.5,0.55,0.4925,1,1,243
17,5,0,4,2,0.5,0.4848,0.63,0.3881,2,1,331
18,5,0,4,2,0.46,0.4545,0.67,0.3881,2,1,263
19,5,0,4,2,0.42,0.4242,0.77,0.3881,1,1,209
20,5,0,4,2,0.4,0.4091,0.76,0.3284,2,1,118
21,5,0,4,2,0.4,0.4091,0.76,0.2985,2,1,102
22,5,0,4,2,0.38,0.3939,0.82,0.3881,2,1,80
23,5,0,4,2,0.36,0.3485,0.81,0.194,2,1,64
0,6,0,4,2,0.36,0.3485,0.81,0.2239,2,0,43
1,6,0,4,2,0.36,0.3333,0.87,0.2836,2,0,33
2,6,0,4,2,0.36,0.3485,0.87,0.1343,2,0,24
3,6,0,4,2,0.36,0.3485,0.87,0.1642,2,0,14
4,6,0,4,2,0.36,0.3485,0.87,0.2239,2,0,5
5,6,0,4,2,0.38,0.3939,0.87,0.2836,2,0,4
6,6,0,4,2,0.4,0.4091,0.82,0.3284,3,0,10
7,6,0,4,2,0.4,0.4091,0.82,0.4179,2,0,21
8,6,0,4,2,0.4,0.4091,0.87,0.3582,3,0,45
9,6,0,4,2,0.4,0.4091,1.0,0.2985,3,0,29
10,6,0,4,2,0.42,0.4242,0.94,0.3881,3,0,22
11,6,0,4,2,0.42,0.4242,0.94,0.4478,3,0,31
12,6,0,4,2,0.46,0.4545,0.88,0.5821,2,0,32
13,6,0,4,2,0.46,0.4545,0.94,0.5224,3,0,58
14,6,0,4,2,0.52,0.5,0.83,0.5821,3,0,63
15,6,0,4,2,0.52,0.5,0.83,0.5821,3,0,78
16,6,0,4,2,0.5,0.4848,0.88,0.4627,3,0,33
17,6,0,4,2,0.5,0.4848,0.88,0.5821,3,0,15
18,6,0,4,2,0.5,0.4848,0.94,0.3881,2,0,38
19,6,0,4,2,0.52,0.5,0.94,0.4179,2,0,71
20,6,0,4,2,0.44,0.4394,0.94,0.2239,3,0,53
21,6,0,4,2,0.44,0.4394,0.94,0.0,2,0,14
22,6,0,4,2,0.42,0.4242,1.0,0.0,3,0,24
23,6,0,4,2,0.44,0.4394,0.77,0.2836,2,0,35
0,0,0,4,2,0.44,0.4394,0.77,0.2836,2,0,33
1,0,0,4,2,0.42,0.4242,0.67,0.2239,1,0,31
2,0,0,4,2,0.4,0.4091,0.62,0.194,1,0,29
3,0,0,4,2,0.4,0.4091,0.66,0.1343,1,0,25
4,0,0,4,2,0.36,0.3636,0.76,0.1045,1,0,7
5,0,0,4,2,0.36,0.3485,0.71,0.1642,1,0,3
6,0,0,4,2,0.36,0.3182,0.66,0.4478,1,0,8
7,0,0,4,2,0.36,0.3333,0.5,0.3582,1,0,16
8,0,0,4,2,0.38,0.3939,0.46,0.3881,1,0,43
9,0,0,4,2,0.4,0.4091,0.43,0.2836,1,0,102
10,0,0,4,2,0.42,0.4242,0.44,0.4478,1,0,211
11,0,0,4,2,0.46,0.4545,0.41,0.4179,1,0,304
12,0,0,4,2,0.46,0.4545,0.38,0.3881,1,0,354
13,0,0,4,2,0.5,0.4848,0.34,0.3881,1,0,343
14,0,0,4,2,0.52,0.5,0.34,0.3881,1,0,361
15,0,0,4,2,0.54,0.5152,0.32,0.5224,1,0,388
16,0,0,4,2,0.54,0.5152,0.3,0.3582,1,0,343
17,0,0,4,2,0.56,0.5303,0.3,0.4478,1,0,306
18,0,0,4,2,0.56,0.5303,0.3,0.3881,1,0,277
19,0,0,4,2,0.56,0.5303,0.3,0.2985,1,0,210
20,0,0,4,2,0.52,0.5,0.36,0.194,1,0,141
21,0,0,4,2,0.5,0.4848,0.42,0.194,1,0,83
22,0,0,4,2,0.5,0.4848,0.39,0.1045,1,0,70
23,0,0,4,2,0.44,0.4394,0.67,0.1642,1,0,56
0,1,1,4,2,0.46,0.4545,0.47,0.0896,1,0,39
1,1,1,4,2,0.46,0.4545,0.47,0.1343,1,0,19
2,1,1,4,2,0.42,0.4242,0.67,0.1045,1,0,16
3,1,1,4,2,0.42,0.4242,0.62,0.1045,1,0,7
4,1,1,4,2,0.4,0.4091,0.87,0.1642,1,0,6
5,1,1,4,2,0.4,0.4091,0.76,0.0896,1,0,16
6,1,1,4,2,0.4,0.4091,0.82,0.0,1,0,54
7,1,1,4,2,0.46,0.4545,0.63,0.0,1,0,168
8,1,1,4,2,0.46,0.4545,0.63,0.0,1,0,297
9,1,1,4,2,0.5,0.4848,0.55,0.1045,2,0,169
10,1,1,4,2,0.52,0.5,0.55,0.1045,2,0,109
11,1,1,4,2,0.54,0.5152,0.52,0.0896,2,0,123
12,1,1,4,2,0.56,0.5303,0.49,0.0896,2,0,184
13,1,1,4,2,0.56,0.5303,0.49,0.1642,2,0,169
14,1,1,4,2,0.58,0.5455,0.49,0.194,2,0,144
15,1,1,4,2,0.6,0.6212,0.43,0.194,2,0,176
16,1,1,4,2,0.6,0.6212,0.46,0.2836,1,0,205
17,1,1,4,2,0.58,0.5455,0.49,0.2836,1,0,428
18,1,1,4,2,0.64,0.6212,0.31,0.3582,1,0,362
19,1,1,4,2,0.56,0.5303,0.46,0.2537,1,0,286
20,1,1,4,2,0.6,0.6212,0.33,0.2985,1,0,165
21,1,1,4,2,0.56,0.5303,0.37,0.2836,1,0,151
22,1,1,4,2,0.52,0.5,0.55,0.2836,1,0,90
23,1,1,4,2,0.5,0.4848,0.59,0.2537,1,0,46
0,2,1,4,2,0.5,0.4848,0.55,0.2239,1,0,25
1,2,1,4,2,0.46,0.4545,0.63,0.2239,1,0,7
2,2,1,4,2,0.46,0.4545,0.67,0.2836,1,0,13
3,2,1,4,2,0.48,0.4697,0.63,0.2239,1,0,3
4,2,1,4,2,0.46,0.4545,0.67,0.0896,1,0,5
5,2,1,4,2,0.46,0.4545,0.72,0.194,2,0,18
6,2,1,4,2,0.48,0.4697,0.67,0.0,2,0,65
7,2,1,4,2,0.52,0.5,0.55,0.0,2,0,188
8,2,1,4,2,0.5,0.4848,0.68,0.1343,2,0,351
9,2,1,4,2,0.52,0.5,0.63,0.0896,3,0,162
10,2,1,4,2,0.5,0.4848,0.72,0.2239,2,0,75
11,2,1,4,2,0.54,0.5152,0.68,0.1642,2,0,72
12,2,1,4,2,0.54,0.5152,0.64,0.0896,2,0,103
13,2,1,4,2,0.54,0.5152,0.68,0.2239,2,0,129
14,2,1,4,2,0.54,0.5152,0.64,0.194,2,0,107
15,2,1,4,2,0.54,0.5152,0.65,0.1642,2,0,127
16,2,1,4,2,0.56,0.5303,0.52,0.2985,1,0,192
17,2,1,4,2,0.56,0.5303,0.6,0.1045,1,0,411
18,2,1,4,2,0.54,0.5152,0.64,0.1343,2,0,421
19,2,1,4,2,0.5,0.4848,0.72,0.194,2,0,276
20,2,1,4,2,0.5,0.4848,0.72,0.2239,2,0,168
21,2,1,4,2,0.5,0.4848,0.72,0.1343,2,0,122
22,2,1,4,2,0.48,0.4697,0.77,0.0896,1,0,112
23,2,1,4,2,0.46,0.4545,0.88,0.0896,1,0,52
0,3,1,4,2,0.44,0.4394,0.88,0.1343,1,0,33
1,3,1,4,2,0.42,0.4242,0.94,0.1642,1,0,7
2,3,1,4,2,0.42,0.4242,0.94,0.1642,1,0,2
3,3,1,4,2,0.42,0.4242,0.94,0.0,1,0,2
4,3,1,4,2,0.4,0.4091,1.0,0.1045,1,0,9
5,3,1,4,2,0.4,0.4091,0.94,0.194,1,0,15
6,3,1,4,2,0.42,0.4242,0.94,0.1642,1,0,64
7,3,1,4,2,0.44,0.4394,0.94,0.0,1,0,237
8,3,1,4,2,0.62,0.6061,0.69,0.4627,1,0,396
9,3,1,4,2,0.66,0.6212,0.61,0.2836,1,0,197
10,3,1,4,2,0.62,0.6061,0.69,0.0896,1,0,131
11,3,1,4,2,0.62,0.6061,0.69,0.0896,1,0,118
12,3,1,4,2,0.7,0.6515,0.48,0.3881,1,0,145
13,3,1,4,2,0.7,0.6515,0.48,0.3881,1,0,177
14,3,1,4,2,0.74,0.6515,0.4,0.4627,1,0,148
15,3,1,4,2,0.76,0.6667,0.35,0.3582,2,0,145
16,3,1,4,2,0.76,0.6667,0.35,0.3582,2,0,255
17,3,1,4,2,0.74,0.6515,0.37,0.4179,2,0,432
18,3,1,4,2,0.74,0.6515,0.3,0.3582,1,0,441
19,3,1,4,2,0.7,0.6364,0.32,0.2537,1,0,383
20,3,1,4,2,0.68,0.6212,0.32,0.1045,1,0,225
21,3,1,4,2,0.66,0.6212,0.36,0.2836,1,0,172
22,3,1,4,2,0.62,0.6212,0.41,0.2537,1,0,117
23,3,1,4,2,0.6,0.6212,0.4,0.3284,1,0,93
0,4,1,4,2,0.56,0.5303,0.43,0.3582,1,0,44
1,4,1,4,2,0.52,0.5,0.45,0.2239,1,0,26
2,4,1,4,2,0.5,0.4848,0.42,0.3881,1,0,13
3,4,1,4,2,0.46,0.4545,0.51,0.4627,2,0,7
4,4,1,4,2,0.44,0.4394,0.54,0.4478,2,0,6
5,4,1,4,2,0.42,0.4242,0.54,0.5522,2,0,14
6,4,1,4,2,0.4,0.4091,0.58,0.5821,2,0,75
7,4,1,4,2,0.42,0.4242,0.47,0.4627,2,0,198
8,4,1,4,2,0.4,0.4091,0.5,0.4925,2,0,365
9,4,1,4,2,0.42,0.4242,0.47,0.2836,2,0,196
10,4,1,4,2,0.42,0.4242,0.44,0.3582,1,0,98
11,4,1,4,2,0.44,0.4394,0.41,0.2836,1,0,133
12,4,1,4,2,0.46,0.4545,0.38,0.1642,1,0,199
13,4,1,4,2,0.48,0.4697,0.33,0.3284,1,0,177
14,4,1,4,2,0.5,0.4848,0.34,0.3881,1,0,228
15,4,1,4,2,0.52,0.5,0.29,0.4179,1,0,235
16,4,1,4,2,0.52,0.5,0.27,0.3582,1,0,294
17,4,1,4,2,0.5,0.4848,0.29,0.1642,1,0,481
18,4,1,4,2,0.5,0.4848,0.25,0.2836,1,0,452
19,4,1,4,2,0.46,0.4545,0.28,0.2836,1,0,324
20,4,1,4,2,0.44,0.4394,0.3,0.1343,1,0,204
21,4,1,4,2,0.42,0.4242,0.47,0.194,1,0,184
22,4,1,4,2,0.42,0.4242,0.38,0.0896,1,0,137
23,4,1,4,2,0.4,0.4091,0.43,0.1045,1,0,99
0,5,1,4,2,0.36,0.3485,0.62,0.194,1,0,33
1,5,1,4,2,0.36,0.3333,0.53,0.2537,1,0,24
2,5,1,4,2,0.36,0.3333,0.53,0.2985,1,0,9
3,5,1,4,2,0.36,0.3333,0.53,0.2985,1,0,2
4,5,1,4,2,0.34,0.3182,0.53,0.2836,1,0,3
5,5,1,4,2,0.34,0.3182,0.53,0.2239,1,0,16
6,5,1,4,2,0.34,0.3182,0.53,0.2836,1,0,49
7,5,1,4,2,0.34,0.3182,0.53,0.2836,2,0,180
8,5,1,4,2,0.34,0.3182,0.53,0.2537,2,0,346
9,5,1,4,2,0.34,0.303,0.61,0.2985,3,0,195
10,5,1,4,2,0.36,0.3485,0.62,0.194,2,0,136
11,5,1,4,2,0.34,0.3333,0.66,0.194,3,0,106
12,5,1,4,2,0.34,0.3333,0.76,0.1343,3,0,80
13,5,1,4,2,0.34,0.3333,0.87,0.194,3,0,40
14,5,1,4,2,0.34,0.3182,0.87,0.2537,3,0,36
15,5,1,4,2,0.34,0.3333,0.87,0.194,3,0,75
16,5,1,4,2,0.34,0.3333,0.87,0.1343,3,0,62
17,5,1,4,2,0.32,0.303,0.93,0.2239,3,0,69
18,5,1,4,2,0.32,0.303,0.93,0.2239,3,0,51
19,5,1,4,2,0.32,0.303,0.93,0.2239,3,0,55
20,5,1,4,2,0.32,0.303,0.87,0.2239,3,0,47
21,5,1,4,2,0.3,0.303,0.93,0.1642,3,0,28
22,5,1,4,2,0.3,0.303,1.0,0.1343,3,0,24
23,5,1,4,2,0.32,0.3333,0.93,0.1045,3,0,17
0,6,0,4,2,0.32,0.3182,1.0,0.194,2,0,18
1,6,0,4,2,0.32,0.3182,1.0,0.194,2,0,16
2,6,0,4,2,0.32,0.3333,1.0,0.1343,3,0,17
3,6,0,4,2,0.32,0.3333,1.0,0.0896,3,0,4
4,6,0,4,2,0.34,0.3636,1.0,0.0,3,0,5
5,6,0,4,2,0.34,0.3636,1.0,0.0,3,0,7
6,6,0,4,2,0.34,0.3333,1.0,0.1642,2,0,11
7,6,0,4,2,0.34,0.3333,1.0,0.1642,3,0,19
8,6,0,4,2,0.36,0.3333,1.0,0.2537,2,0,47
9,6,0,4,2,0.38,0.3939,0.94,0.2985,2,0,68
10,6,0,4,2,0.42,0.4242,0.88,0.2239,2,0,129
11,6,0,4,2,0.46,0.4545,0.88,0.2239,2,0,232
12,6,0,4,2,0.52,0.5,0.83,0.4179,1,0,291
13,6,0,4,2,0.52,0.5,0.83,0.3881,1,0,312
14,6,0,4,2,0.58,0.5455,0.78,0.3582,1,0,391
15,6,0,4,2,0.6,0.5909,0.73,0.3881,1,0,397
16,6,0,4,2,0.6,0.5909,0.73,0.2836,1,0,426
17,6,0,4,2,0.6,0.5909,0.73,0.3284,1,0,383
18,6,0,4,2,0.58,0.5455,0.78,0.194,1,0,376
19,6,0,4,2,0.56,0.5303,0.83,0.2836,1,0,283
20,6,0,4,2,0.54,0.5152,0.88,0.2537,2,0,183
21,6,0,4,2,0.56,0.5303,0.83,0.2836,2,0,135
22,6,0,4,2,0.58,0.5455,0.78,0.2537,2,0,169
23,6,0,4,2,0.54,0.5152,0.88,0.1642,2,0,117
0,0,0,4,2,0.52,0.5,0.83,0.2239,1,0,96
1,0,0,4,2,0.5,0.4848,0.88,0.194,1,0,54
2,0,0,4,2,0.5,0.4848,0.88,0.194,1,0,72
3,0,0,4,2,0.5,0.4848,0.94,0.0896,1,0,24
4,0,0,4,2,0.5,0.4848,0.94,0.0896,1,0,5
5,0,0,4,2,0.5,0.4848,0.94,0.0896,1,0,12
6,0,0,4,2,0.5,0.4848,1.0,0.0,2,0,13
7,0,0,4,2,0.5,0.4848,1.0,0.0,2,0,27
8,0,0,4,2,0.52,0.5,0.94,0.2239,1,0,80
9,0,0,4,2,0.56,0.5303,0.88,0.2537,1,0,177
10,0,0,4,2,0.6,0.5758,0.78,0.1642,1,0,289
11,0,0,4,2,0.66,0.6212,0.65,0.1343,1,0,317
12,0,0,4,2,0.68,0.6364,0.65,0.2537,1,0,388
13,0,0,4,2,0.7,0.6515,0.58,0.2836,1,0,441
14,0,0,4,2,0.7,0.6515,0.54,0.3284,1,0,420
15,0,0,4,2,0.66,0.6212,0.61,0.2537,1,0,369
16,0,0,4,2,0.74,0.6667,0.48,0.3881,1,0,359
17,0,0,4,2,0.66,0.6212,0.65,0.2985,1,0,331
18,0,0,4,2,0.64,0.6061,0.69,0.1642,1,0,270
19,0,0,4,2,0.6,0.5606,0.83,0.2836,3,0,194
20,0,0,4,2,0.6,0.5606,0.83,0.2836,3,0,105
21,0,0,4,2,0.54,0.5152,0.94,0.1642,3,0,61
22,0,0,4,2,0.54,0.5152,1.0,0.1642,3,0,45
23,0,0,4,2,0.54,0.5152,1.0,0.0896,3,0,42
0,1,1,4,2,0.52,0.5,1.0,0.0,3,0,12
1,1,1,4,2,0.54,0.5152,1.0,0.0896,1,0,10
2,1,1,4,2,0.54,0.5152,1.0,0.0896,1,0,10
3,1,1,4,2,0.5,0.4848,1.0,0.1045,2,0,10
4,1,1,4,2,0.52,0.5,1.0,0.0,2,0,5
5,1,1,4,2,0.46,0.4545,1.0,0.0,2,0,17
